[pid:44380] 2026-08-20T16:29:12.479764Z ERROR shioaji::utils: get site info failed 0 time, error: error sending request for url (https://sinotrade.gitlab.io/control/site/prod), retrying...
[pid:44380] 2026-08-20T16:29:12.854289Z  INFO shioaji::api::api_v1::auth::token_login: No cached token available, performing new login
[pid:44380] 2026-08-20T16:29:12.984851Z  INFO shioaji::api: P2P receiver closed: Closed
[pid:44380] 2026-08-20T16:29:12.984887Z  INFO shioaji::api: msg receiver error: Closed
[pid:33704] 2026-08-20T16:33:09.192353Z  INFO shioaji::api::api_v1::auth::token_login: No cached token available, performing new login
[pid:33704] 2026-08-20T16:33:09.402000Z  INFO shioaji::api::api_v1::auth::token_login: Stored new token in slot 1
[pid:33704] 2026-08-20T16:33:09.425660Z  INFO shioaji::contracts_v2::traffic: contract backend response endpoint="contracts_version" regions=Some([TW]) security_types=Some([Stock]) bytes=198
[pid:33704] 2026-08-20T16:33:09.426018Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="miss_or_stale" block="base" region=TW security_type=STK bytes=0
[pid:33704] 2026-08-20T16:33:09.439714Z  INFO shioaji::contracts_v2::traffic: contract backend response endpoint="contracts_base" region=TW security_type=STK bytes=51392
[pid:33704] 2026-08-20T16:33:09.460738Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="miss" block="info" region=TW security_type=STK bytes=0
[pid:33704] 2026-08-20T16:33:09.499315Z  INFO shioaji::contracts_v2::traffic: contract backend response endpoint="contracts_info" region=TW security_type=STK shard="" bytes=308857
[pid:41608] 2026-08-20T16:44:02.301415Z  INFO shioaji::api::api_v1::auth::token_login: Found cached token from slot 1, verifying...
[pid:41608] 2026-08-20T16:44:02.345538Z  INFO shioaji::api::api_v1::auth::token_login: Cached token is valid, using it
[pid:41608] 2026-08-20T16:44:02.354914Z  INFO shioaji::contracts_v2::traffic: contract backend response endpoint="contracts_version" regions=Some([TW]) security_types=Some([Stock]) bytes=198
[pid:41608] 2026-08-20T16:44:02.390425Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="hit" block="base" region=TW security_type=STK bytes=9311
[pid:41608] 2026-08-20T16:44:02.417909Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="hit" block="info" region=TW security_type=STK bytes=86495
[pid:41608] 2026-08-20T16:44:02.590037Z  INFO shioaji::api::token_pool: Successfully released token slot 1 via temporary runtime
[pid:18536] 2026-08-20T17:16:26.043828Z  INFO shioaji::api::api_v1::auth::token_login: Found cached token from slot 1, verifying...
[pid:18536] 2026-08-20T17:16:26.097870Z  INFO shioaji::api::api_v1::auth::token_login: Cached token is valid, using it
[pid:18536] 2026-08-20T17:19:26.080674Z  INFO shioaji::contracts_v2::traffic: contract backend response endpoint="contracts_version" regions=Some([TW]) security_types=Some([Stock]) bytes=198
[pid:18536] 2026-08-20T17:19:26.088054Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="hit" block="base" region=TW security_type=STK bytes=9311
[pid:18536] 2026-08-20T17:19:26.095086Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="hit" block="info" region=TW security_type=STK bytes=86495
[pid:18536] 2026-08-20T17:27:12.383982Z  INFO shioaji::api::api_v1::auth::token_login: No cached token available, performing new login
[pid:18536] 2026-08-20T17:27:12.588487Z  INFO shioaji::api::api_v1::auth::token_login: Stored new token in slot 2
[pid:18536] 2026-08-20T17:30:13.698785Z  INFO shioaji::contracts_v2::traffic: contract backend response endpoint="contracts_version" regions=Some([TW]) security_types=Some([Stock]) bytes=198
[pid:18536] 2026-08-20T17:30:13.701740Z  INFO shioaji::contracts_v2::traffic: contract disk cache cache="hit" block="base" region=TW security_type=STK bytes=9311
